Game of Life CNN - Epoch Statistics Summary
==================================================
실험 ID: mercury_conv3-LReLU-He_fc5-Tanh-Xavier_BCEWithLogits_Adam-1000-50-0.000001-2025-08-16_024429
생성 일시: 2025년 08월 16일 03:10:07

📊 전체 통계 요약:
- 총 에폭 수: 1000
- 평균 표준편차: 0.019282
- 평균 분산: 0.000391
- 표준편차 범위: 0.009074 ~ 0.022426
- 분산 범위: 0.000082 ~ 0.000503

🔝 표준편차가 높은 상위 10 에폭:
   Epoch  812: std=0.022426, var=0.000503, cv=0.039030
   Epoch  811: std=0.022426, var=0.000503, cv=0.039030
   Epoch  810: std=0.022426, var=0.000503, cv=0.039030
   Epoch  814: std=0.022426, var=0.000503, cv=0.039029
   Epoch  815: std=0.022426, var=0.000503, cv=0.039029
   Epoch  813: std=0.022426, var=0.000503, cv=0.039029
   Epoch  809: std=0.022426, var=0.000503, cv=0.039029
   Epoch  808: std=0.022426, var=0.000503, cv=0.039029
   Epoch  816: std=0.022426, var=0.000503, cv=0.039029
   Epoch  817: std=0.022426, var=0.000503, cv=0.039029

🔻 표준편차가 낮은 상위 10 에폭:
   Epoch   21: std=0.009074, var=0.000082, cv=0.012773
   Epoch   20: std=0.009074, var=0.000082, cv=0.012768
   Epoch   22: std=0.009075, var=0.000082, cv=0.012778
   Epoch   19: std=0.009075, var=0.000082, cv=0.012764
   Epoch   23: std=0.009076, var=0.000082, cv=0.012785
   Epoch   18: std=0.009077, var=0.000082, cv=0.012761
   Epoch   24: std=0.009078, var=0.000082, cv=0.012793
   Epoch   17: std=0.009079, var=0.000082, cv=0.012759
   Epoch   25: std=0.009081, var=0.000082, cv=0.012801
   Epoch   16: std=0.009081, var=0.000082, cv=0.012758
